_id,TweetID,Text
68a5bea01ec1fa2c5e976820,1.22874e+18,"aipac should be registered as a foreign agent meddling in us elections

american israel political action committee

it is interfering in the us electoral process and should be put on trial and its leaders imprisoned  benshapiro charliekirk11 httpstcoebo4ipuah8"
68a5bea01ec1fa2c5e976821,1.23955e+18,rt qiss0rkid go to israel pls  we dont need you
68a5bea01ec1fa2c5e976822,1.21656e+18,the world including canada has given israel a green light to take palestinian land destroy palestinian homes and strengthen a system of apartheid shame on us
68a5bea01ec1fa2c5e976823,1.21712e+18,"these children avoid walking over the us amp israel flags supposedly this is a generation which was taught to hate america amp israel but it is the opposite
iranians seek freedom peace amp a dignified life unlike the oppressive iranian regime
why is the media pro iran regime httpstcoym3zt8jlfy"
68a5bea01ec1fa2c5e976824,1.23226e+18,rt idf the last 24 hours in israel httpstco0ynwvmsyvl
68a5bea01ec1fa2c5e976825,1.22403e+18,stranahan knowmorenews isnt confident enough to debate me that jesuits control israel not jews httpstcoraffekoslo
68a5bea01ec1fa2c5e976826,1.24238e+18,even an heritage unto israel his servant for his mercy endureth for ever psalms 13622 bible poetry god
68a5bea01ec1fa2c5e976827,1.22468e+18,"opinion no one in israel knew they were committing a massacre and they didnt care

gideon levy
httpstco2itgo9cute"
68a5bea01ec1fa2c5e976828,1.21428e+18,httpstcoltb0zidzm9 when thecloudofgod appeared in the days of moses  he took the children of israel from egypt to the canaan through tremendous judgement of the egyptians god is coming back to judge sin again
68a5bea01ec1fa2c5e976829,1.23973e+18,smokers appear to be at higher risk from coronavirus  expert  the times of israel httpstcohgkq8m7cjr
68a5bea01ec1fa2c5e97682a,1.21573e+18,"rt sebgorka so ilhanmn hates israel and defends iran 

   now do you understand"
68a5bea01ec1fa2c5e97682b,1.25539e+18,"the danish bible society has removed dozens of references to israel from translations of the hebrew bible and the new testament

no one can rewrite history and delete israel from history israel is here yo stay whether they like it or not httpstcoaeux1paeuu"
68a5bea01ec1fa2c5e97682c,1.23023e+18,cbs news how jewish american pedophiles hide from justice in israel httpstco6zky4sakti httpstco3n7fgrgkzb
